Sample;Fraction;Replicate;spikeIn_mediumRC;library_size;median_spikeIn_percentage;spikeIn_normFactor;;;Fraction;spikeIn_mediumRC;library_size;Reads w/o spike-ins;spike-in % of reads;RNA concentration [ng/µL];RNA concentration - spikeIns;reads/ng;spikeIn_normFactor;1/spikeIn_normFactor;normLibrSize w/o spike-ins;;;;
1;F1;1;430,429;5526680;0.07788;0.0216448;;;F1; 491,538 ; 6,345,960 ; 2,413,656   ;62%;1.63;0.62;241562.18;0.02;45.91;5.00;229.68;;;
2;F2;1;520,484;6784554;0.07672;0.0219737;;;F2; 528,902 ; 6,819,330 ; 2,588,116   ;62%;2.03;0.77;193324.67;0.02;46.06;4.67;214.90;;;
3;F3;1;339,638;8680567;0.03913;0.0430845;;;F3; 366,897 ; 8,222,929 ; 5,287,753   ;36%;10.37;6.67;58314.58;0.04;25.31;2.28;57.81;;;
4;F4;1;72,640;7667979;0.00947;0.1779496;;;F4; 64,125 ; 8,151,963 ; 7,638,966   ;6%;48.17;45.14;10305.56;0.24;4.19;1.58;6.63;;;
5;F5;1;41,619;7957945;0.00523;0.3223264;;;F5; 43,563 ; 9,509,029 ; 9,160,522   ;4%;81.30;78.32;6833.65;0.52;1.92;1.32;2.53;;;
6;F6;1;71,940;6957486;0.01034;0.1630309;;;F6; 65,261 ; 8,495,663 ; 7,973,572   ;6%;50.53;47.43;9722.97;0.27;3.66;1.51;5.54;;;
7;F7;1;217,596;10522896;0.02068;0.0815221;;;F7; 155,518 ; 10,367,715 ; 9,123,568   ;12%;25.60;22.53;23112.75;0.12;8.18;1.32;10.83;;;
8;F8;1;227,668;8514692;0.02674;0.0630458;;;F8; 181,496 ; 9,310,311 ; 7,858,343   ;16%;10.97;9.26;48201.70;0.09;11.02;1.54;16.93;;;
9;F9;1;166,272;9161280;0.01815;0.0928809;;;F9; 173,934 ; 9,349,650 ; 7,958,178   ;15%;9.90;8.43;54877.71;0.09;11.01;1.52;16.70;;;
10;F10;1;172,254;8771928;0.01964;0.085845;;;F10; 147,588 ; 9,352,986 ; 8,172,279   ;13%;13.17;11.50;41317.22;0.11;9.10;1.48;13.45;;;
11;F11;1;175,210;7842405;0.02234;0.0754539;;;F11; 160,521 ; 10,099,445 ; 8,815,280   ;13%;17.20;15.01;32607.91;0.11;8.74;1.37;11.97;;;
12;F12;1;256,895;9512375;0.02701;0.0624198;;;F12; 177,773 ; 9,482,201 ; 8,060,017   ;15%;24.90;21.17;21761.66;0.10;9.78;1.50;14.65;;;
13;F13;1;184,393;9022878;0.02044;0.0824878;;;F13; 145,890 ; 9,376,003 ; 8,208,886   ;12%;38.37;33.59;14388.68;0.12;8.66;1.47;12.73;;;
14;F1415;1;195,597;10403040;0.0188;0.089658;;;F1415; 150,219 ; 10,301,126 ; 9,099,377   ;12%;74.77;66.04;8778.25;0.12;8.30;1.33;11.01;;;
15;F1617;1;89,736;10126904;0.00886;0.1902388;;;F1617; 73,191 ; 10,196,787 ; 9,611,257   ;6%;219.70;207.08;2594.09;0.25;3.98;1.26;5.01;;;
16;F18;1;20,711;11023563;0.00188;0.8972376;;;F18; 23,739 ; 12,264,822 ; 12,074,907   ;2%;409.33;403.00;1789.89;0.87;1.14;1.00;1.14;;;
1;F1;2;542,704;6726166;0.08069;0.0208927;;;; 23,739 ; 12,264,822 ; 12,074,907   ;2%;409.33;403.00;1789.89;;;;;;;
2;F2;2;482,290;6052527;0.07968;0.0211553;;;;;;;;;;;;;;;;;
3;F3;2;452,561;6862741;0.06594;0.0255629;;;;;;;;;;;;;;;;;
4;F4;2;79,391;7978196;0.00995;0.1694045;;;;;;;;;;;;;;;;;
5;F5;2;71,709;10269546;0.00698;0.2414174;;;;;;;;;;;;;;;;;
6;F6;2;91,949;9321672;0.00986;0.1708984;;;;;;;;;;;;;;;;;
7;F7;2;140,072;9744005;0.01438;0.1172671;;;;;;;;;;;;;;;;;
8;F8;2;171,410;9034352;0.01897;0.0888485;;;;;;;;;;;;;;;;;
9;F9;2;169,414;9604339;0.01764;0.0955672;;;;;;;;;;;;;;;;;
10;F10;2;149,017;9325101;0.01598;0.1054894;;;;;;;;;;;;;;;;;
11;F11;2;191,898;10603557;0.0181;0.0931474;;;;;;;;;;;;;;;;;
12;F12;2;166,076;8741512;0.019;0.0887298;;;;;;;;;;;;;;;;;
13;F13;2;144,695;8403499;0.01722;0.0979034;;;;;;;;;;;;;;;;;
14;F1415;2;121,751;10618005;0.01147;0.1470142;;;;;;;;;;;;;;;;;
15;F1617;2;79,292;9909456;0.008;0.210674;;;;;;;;;;;;;;;;;
16;F18;2;22,073;11617409;0.0019;0.8872469;;;;;;;;;;;;;;;;;
1;F1;3;501,481;6785033;0.07391;0.022808;;;;;;;;;;;;;;;;;
2;F2;3;583,931;7620908;0.07662;0.0220006;;;;;;;;;;;;;;;;;
3;F3;3;308,492;9125479;0.03381;0.0498657;;;;;;;;;;;;;;;;;
4;F4;3;40,343;8809715;0.00458;0.3681159;;;;;;;;;;;;;;;;;
5;F5;3;17,362;10299595;0.00169;1;;;;;;;;;;;;;;;;;
6;F6;3;31,895;9207830;0.00346;0.486664;;;;;;;;;;;;;;;;;
7;F7;3;108,887;10836244;0.01005;0.1677621;;;;;;;;;;;;;;;;;
8;F8;3;145,410;10381888;0.01401;0.1203571;;;;;;;;;;;;;;;;;
9;F9;3;186,116;9283330;0.02005;0.0840835;;;;;;;;;;;;;;;;;
10;F10;3;121,494;9961929;0.0122;0.138223;;;;;;;;;;;;;;;;;
11;F11;3;114,454;11852374;0.00966;0.1745674;;;;;;;;;;;;;;;;;
12;F12;3;110,348;10192717;0.01083;0.1557095;;;;;;;;;;;;;;;;;
13;F13;3;108,581;10701632;0.01015;0.166144;;;;;;;;;;;;;;;;;
14;F1415;3;133,308;9882333;0.01349;0.1249663;;;;;;;;;;;;;;;;;
15;F1617;3;50,546;10554002;0.00479;0.3519837;;;;;;;;;;;;;;;;;
16;F18;3;28,434;14153493;0.00201;0.8391161;;;;;;;;;;;;;;;;;
